Survived;ageGroup
0;Young
1;Young
1;Young
1;Young
0;Young
0;Undefined
0;Young
0;Child
1;Young
1;Child
1;Child
1;Young
0;Young
0;Young
0;Child
1;Young
0;Child
1;Undefined
0;Young
1;Undefined
0;Young
1;Young
1;Child
1;Young
0;Child
1;Young
0;Undefined
0;Young
1;Undefined
0;Undefined
0;Young
1;Undefined
1;Undefined
0;Retiree
0;Young
0;Young
1;Undefined
0;Young
0;Child
1;Child
0;Young
0;Young
0;Undefined
1;Child
1;Young
0;Undefined
0;Undefined
1;Undefined
0;Undefined
0;Child
0;Child
0;Young
1;Young
1;Young
0;Retiree
1;Undefined
1;Young
0;Young
1;Child
0;Child
0;Young
1;Young
0;Young
0;Child
0;Undefined
1;Undefined
1;Young
0;Young
1;Child
0;Young
0;Young
0;Child
0;Young
0;Young
1;Young
0;Young
0;Undefined
0;Undefined
1;Child
1;Young
0;Young
1;Young
1;Undefined
0;Young
1;Child
1;Young
0;Child
0;Undefined
1;Young
0;Young
0;Young
0;Young
0;Young
0;Young
0;Young
0;Undefined
0;Retiree
1;Young
1;Young
0;Young
0;Young
0;Undefined
0;Young
0;Young
0;Young
0;Young
1;Young
1;Undefined
0;Young
1;Undefined
0;Young
0;Child
0;Young
0;Young
0;Child
0;Young
0;Retiree
0;Young
0;Young
0;Child
0;Young
0;Undefined
0;Young
1;Young
0;Young
1;Child
0;Undefined
1;Young
1;Undefined
0;Young
0;Young
0;Young
0;Young
1;Young
0;Young
0;Young
1;Young
0;Young
0;Child
0;Young
0;Undefined
1;Young
1;Young
0;Young
0;Child
0;Young
1;Young
0;Child
0;Young
0;Young
0;Young
1;Young
0;Young
0;Young
0;Undefined
0;Young
1;Child
0;Young
0;Undefined
0;Undefined
0;Young
1;Young
0;Young
0;Child
0;Child
1;Child
1;Undefined
0;Young
0;Undefined
0;Young
0;Young
0;Child
1;Child
0;Young
0;Young
0;Child
0;Undefined
0;Young
0;Young
0;Young
0;Undefined
0;Undefined
0;Child
1;Child
1;Child
0;Undefined
1;Undefined
1;Young
0;Young
0;Young
1;Young
0;Young
1;Young
1;Child
1;Young
1;Young
0;Undefined
0;Young
1;Undefined
0;Young
0;Young
0;Undefined
0;Young
0;Young
1;Child
0;Child
0;Young
1;Young
1;Child
1;Young
0;Young
1;Young
0;Young
0;Young
0;Undefined
1;Young
1;Young
0;Young
1;Young
0;Young
1;Child
0;Young
0;Young
0;Undefined
1;Young
0;Young
1;Young
0;Young
0;Child
0;Undefined
1;Young
0;Young
0;Young
1;Child
0;Young
0;Undefined
0;Young
1;Child
0;Young
0;Young
0;Undefined
1;Undefined
0;Young
0;Young
0;Young
0;Young
0;Young
1;Young
1;Young
0;Young
0;Undefined
0;Young
0;Young
0;Young
0;Young
1;Young
1;Undefined
1;Young
1;Young
1;Young
0;Undefined
1;Child
0;Young
0;Young
0;Undefined
0;Young
0;Child
1;Young
1;Young
1;Young
0;Undefined
1;Young
1;Young
0;Young
1;Undefined
1;Young
0;Young
0;Undefined
0;Child
1;Young
0;Retiree
0;Young
0;Child
1;Young
0;Undefined
0;Young
1;Young
0;Young
1;Young
1;Young
1;Young
1;Young
0;Young
0;Young
0;Young
0;Undefined
0;Young
0;Child
1;Undefined
1;Young
1;Undefined
1;Undefined
0;Young
1;Undefined
0;Undefined
1;Child
1;Undefined
1;Child
0;Young
1;Young
1;Young
1;Child
0;Young
0;Young
0;Young
1;Young
1;Young
0;Young
1;Young
1;Young
0;Young
0;Young
1;Young
1;Young
0;Undefined
1;Young
0;Young
1;Young
1;Young
1;Child
1;Undefined
0;Young
0;Young
0;Child
1;Undefined
0;Undefined
0;Young
1;Young
1;Young
0;Young
1;Child
1;Young
0;Young
0;Young
0;Young
1;Young
1;Young
1;Undefined
1;Child
0;Young
0;Young
0;Undefined
0;Child
0;Young
0;Undefined
0;Young
1;Young
0;Young
1;Undefined
1;Undefined
0;Young
0;Young
0;Young
0;Young
0;Undefined
0;Young
1;Young
1;Undefined
1;Undefined
1;Young
1;Young
0;Child
0;Young
0;Young
0;Child
1;Undefined
1;Young
0;Young
0;Young
0;Young
1;Young
1;Child
0;Young
1;Young
0;Undefined
0;Child
0;Child
1;Young
0;Undefined
1;Child
1;Young
1;Young
0;Young
1;Young
1;Young
0;Young
0;Young
0;Young
0;Young
1;Young
1;Young
0;Young
0;Young
0;Young
0;Young
0;Young
0;Young
1;Child
0;Young
0;Undefined
0;Undefined
0;Undefined
1;Young
0;Undefined
1;Young
0;Undefined
1;Young
1;Child
0;Young
0;Child
0;Undefined
0;Young
0;Young
0;Young
0;Child
0;Undefined
1;Young
1;Young
0;Undefined
1;Young
1;Young
1;Undefined
1;Young
0;Child
0;Young
1;Child
0;Young
1;Young
0;Young
0;Young
1;Young
0;Young
0;Young
1;Young
1;Undefined
1;Child
1;Child
1;Young
1;Child
1;Young
0;Young
0;Undefined
0;Young
1;Young
0;Undefined
1;Young
0;Retiree
1;Undefined
1;Young
0;Undefined
1;Young
0;Young
0;Young
0;Young
0;Undefined
0;Young
0;Undefined
0;Young
0;Undefined
1;Child
0;Undefined
0;Young
1;Young
1;Young
0;Young
0;Undefined
0;Young
0;Young
0;Young
1;Child
0;Child
0;Undefined
0;Young
1;Young
1;Young
0;Undefined
1;Young
0;Young
0;Young
1;Child
0;Undefined
0;Young
0;Young
0;Retiree
0;Young
0;Undefined
1;Young
0;Undefined
0;Young
0;Young
0;Child
0;Young
0;Undefined
0;Young
1;Child
0;Child
1;Young
1;Undefined
0;Young
1;Young
1;Young
0;Undefined
1;Young
1;Young
0;Young
0;Young
1;Young
0;Undefined
1;Young
0;Young
1;Young
0;Young
0;Undefined
1;Young
0;Undefined
0;Young
1;Young
0;Undefined
0;Young
0;Young
1;Child
0;Undefined
0;Child
1;Undefined
0;Young
1;Child
0;Young
1;Young
0;Undefined
1;Young
1;Young
0;Child
0;Child
1;Young
0;Young
0;Young
1;Young
1;Undefined
0;Young
1;Child
1;Child
0;Young
0;Undefined
1;Young
1;Young
0;Young
1;Young
0;Undefined
1;Young
1;Young
0;Undefined
0;Young
0;Young
0;Undefined
0;Undefined
0;Young
0;Young
0;Young
0;Undefined
1;Young
1;Young
1;Young
1;Young
1;Undefined
0;Child
0;Young
1;Young
1;Young
0;Undefined
1;Young
1;Young
1;Young
0;Young
0;Young
0;Undefined
1;Child
0;Young
1;Young
0;Young
0;Undefined
0;Young
1;Young
0;Young
0;Undefined
0;Young
0;Young
1;Undefined
0;Young
0;Undefined
1;Young
1;Young
0;Undefined
0;Undefined
0;Young
1;Young
0;Young
0;Young
1;Young
1;Young
1;Young
0;Young
0;Undefined
1;Undefined
0;Undefined
0;Young
1;Young
0;Young
0;Young
1;Child
0;Young
0;Young
1;Young
1;Young
0;Young
0;Young
0;Young
0;Young
1;Young
0;Young
0;Undefined
1;Retiree
0;Young
1;Young
0;Undefined
0;Child
1;Young
0;Young
0;Young
0;Young
0;Undefined
0;Young
1;Young
0;Child
1;Undefined
1;Child
1;Young
0;Young
1;Young
0;Undefined
1;Young
0;Undefined
1;Child
0;Young
1;Undefined
0;Child
0;Young
0;Undefined
0;Young
0;Young
0;Young
1;Young
0;Young
0;Young
0;Young
1;Young
0;Young
0;Young
0;Undefined
0;Young
1;Undefined
1;Young
0;Young
0;Retiree
1;Young
0;Undefined
0;Child
0;Young
1;Child
0;Young
1;Young
0;Undefined
1;Young
0;Young
0;Child
0;Young
0;Young
0;Child
0;Young
0;Child
1;Child
1;Young
1;Child
1;Undefined
0;Young
0;Young
0;Young
0;Young
1;Undefined
0;Young
0;Young
1;Child
1;Young
0;Child
0;Young
0;Young
0;Young
1;Young
1;Young
1;Young
1;Undefined
1;Young
0;Undefined
1;Young
0;Young
0;Young
0;Young
1;Young
1;Young
0;Undefined
0;Young
1;Child
0;Child
0;Young
0;Young
1;Young
0;Young
1;Young
1;Undefined
0;Young
0;Young
1;Young
0;Child
0;Undefined
0;Young
0;Young
0;Young
0;Young
1;Young
0;Undefined
0;Undefined
1;Undefined
0;Young
1;Young
0;Young
1;Young
0;Retiree
0;Child
1;Young
0;Young
0;Young
1;Child
1;Child
0;Young
0;Young
1;Young
1;Child
0;Young
0;Child
0;Young
1;Young
0;Undefined
0;Young
1;Young
1;Young
0;Child
1;Young
0;Undefined
0;Young
0;Undefined
0;Young
0;Young
0;Young
0;Young
0;Undefined
1;Young
0;Child
0;Undefined
1;Child
0;Undefined
1;Young
1;Child
1;Child
0;Young
0;Undefined
0;Young
0;Young
1;Child
0;Child
1;Child
0;Young
0;Undefined
0;Child
0;Undefined
0;Undefined
0;Young
0;Young
1;Young
1;Young
0;Young
0;Young
0;Young
1;Young
1;Child
1;Child
1;Young
0;Young
0;Young
0;Child
0;Young
1;Young
0;Young
0;Young
0;Young
0;Child
0;Young
0;Undefined
0;Young
0;Young
0;Young
0;Child
1;Young
1;Young
0;Young
1;Young
0;Child
0;Undefined
0;Undefined
1;Child
1;Undefined
1;Young
1;Child
1;Child
0;Undefined
0;Young
0;Child
1;Young
0;Young
0;Undefined
1;Young
1;Undefined
0;Young
0;Child
1;Young
0;Young
0;Child
0;Young
0;Undefined
0;Young
0;Young
1;Undefined
0;Child
0;Retiree
0;Child
1;Child
0;Young
1;Child
1;Young
1;Young
1;Young
0;Undefined
0;Young
0;Young
1;Young
0;Undefined
0;Young
1;Young
1;Young
0;Young
0;Undefined
1;Child
0;Young
1;Young
0;Young
0;Young
1;Young
1;Child
0;Young
0;Young
0;Undefined
1;Young
1;Young
0;Young
0;Young
0;Young
0;Young
0;Young
0;Young
1;Young
0;Undefined
1;Young
0;Young
